model,case,regime,start,end,stage,variable,is_true_predictor,B,abs_B,Beta,abs_Beta,p_value,selected_stepwise,false_stepwise,problem_window,mean_abs_corr,rank_B,rank_Beta
base,base_a_2_2,затухающие колебания,8,33,early,Lag_7,0,-1.987069845199585e-05,1.987069845199585e-05,-4.550442099571228e-06,4.550442099571228e-06,0.9999999999930875,0,0,1,0.9998626967678901,8.0,9.0
base,base_a_2_2,затухающие колебания,8,33,early,Lag_8,0,1.3121054507791996e-05,1.3121054507791996e-05,9.813578799366951e-06,9.813578799366951e-06,0.9999999970194274,0,0,1,0.9998626967678901,9.0,8.0
base,base_a_2_2,затухающие колебания,8,33,early,Lag_9,0,-2.0212610252201557e-08,2.0212610252201557e-08,-1.5643308870494366e-08,1.5643308870494366e-08,0.9999999999988367,0,0,1,0.9998626967678901,11.0,11.0
base,base_a_2_2,затухающие колебания,8,33,early,Lag_10,0,-4.260436980985105e-08,4.260436980985105e-08,-3.1495801522396505e-08,3.1495801522396505e-08,0.9999999994260897,0,0,1,0.9998626967678901,10.0,10.0
base,base_a_2_2,затухающие колебания,9,34,early,X_n,1,-0.720367431640625,0.720367431640625,-0.421295166015625,0.421295166015625,0.9999999978419362,1,0,1,0.999978006820431,2.0,1.0
base,base_a_2_2,затухающие колебания,9,34,early,Lag_1,0,1.1661376953125,1.1661376953125,0.3427467346191406,0.3427467346191406,0.9999999977520613,0,0,1,0.999978006820431,1.0,3.0
base,base_a_2_2,затухающие колебания,9,34,early,Lag_2,0,-0.5942916870117188,0.5942916870117188,-0.3460988998413086,0.3460988998413086,0.9999999964247632,0,0,1,0.999978006820431,3.0,2.0
base,base_a_2_2,затухающие колебания,9,34,early,Lag_3,0,-0.22222900390625,0.22222900390625,-0.0653533935546875,0.0653533935546875,0.9999999997565372,0,0,1,0.999978006820431,4.0,4.0
base,base_a_2_2,затухающие колебания,9,34,early,Lag_4,0,0.06597900390625,0.06597900390625,0.04752159118652344,0.04752159118652344,0.9999999999134861,0,0,1,0.999978006820431,5.0,5.0
base,base_a_2_2,затухающие колебания,9,34,early,Lag_5,0,0.0058441162109375,0.0058441162109375,0.001735687255859375,0.001735687255859375,0.9999999999635334,0,0,1,0.999978006820431,6.0,6.0
base,base_a_2_2,затухающие колебания,9,34,early,Lag_6,0,-0.0014162659645080566,0.0014162659645080566,-0.0011347532272338867,0.0011347532272338867,0.9999999999899898,0,0,1,0.999978006820431,7.0,7.0
